date,city,state,city_ibge_code,case_inc,death_inc
2020-10-01,Marechal Deodoro,AL,2704708,11,0
2020-10-02,Marechal Deodoro,AL,2704708,8,0
2020-10-03,Marechal Deodoro,AL,2704708,7,0
2020-10-04,Marechal Deodoro,AL,2704708,0,0
2020-10-05,Marechal Deodoro,AL,2704708,0,0
2020-10-06,Marechal Deodoro,AL,2704708,5,0
2020-10-07,Marechal Deodoro,AL,2704708,3,0
2020-10-08,Marechal Deodoro,AL,2704708,8,0
2020-10-09,Marechal Deodoro,AL,2704708,0,0
2020-10-10,Marechal Deodoro,AL,2704708,1,0
2020-10-11,Marechal Deodoro,AL,2704708,0,0
2020-10-12,Marechal Deodoro,AL,2704708,1,0
2020-10-13,Marechal Deodoro,AL,2704708,2,0
2020-10-14,Marechal Deodoro,AL,2704708,2,0
2020-10-15,Marechal Deodoro,AL,2704708,0,0
2020-10-16,Marechal Deodoro,AL,2704708,11,0
2020-10-17,Marechal Deodoro,AL,2704708,5,0
2020-10-18,Marechal Deodoro,AL,2704708,0,0
2020-10-19,Marechal Deodoro,AL,2704708,1,0
2020-10-20,Marechal Deodoro,AL,2704708,0,0
2020-10-21,Marechal Deodoro,AL,2704708,6,0
2020-10-22,Marechal Deodoro,AL,2704708,7,0
2020-10-23,Marechal Deodoro,AL,2704708,2,0
2020-10-24,Marechal Deodoro,AL,2704708,5,0
2020-10-25,Marechal Deodoro,AL,2704708,0,0
2020-10-26,Marechal Deodoro,AL,2704708,0,0
2020-10-27,Marechal Deodoro,AL,2704708,2,0
2020-10-28,Marechal Deodoro,AL,2704708,7,0
2020-10-29,Marechal Deodoro,AL,2704708,8,0
2020-10-30,Marechal Deodoro,AL,2704708,12,0
2020-10-31,Marechal Deodoro,AL,2704708,0,0
2020-11-01,Marechal Deodoro,AL,2704708,0,0
2020-11-02,Marechal Deodoro,AL,2704708,1,0
2020-11-03,Marechal Deodoro,AL,2704708,1,0
2020-11-04,Marechal Deodoro,AL,2704708,9,1
2020-11-05,Marechal Deodoro,AL,2704708,2,0
2020-11-06,Marechal Deodoro,AL,2704708,8,0
2020-11-07,Marechal Deodoro,AL,2704708,4,0
2020-11-08,Marechal Deodoro,AL,2704708,0,0
2020-11-09,Marechal Deodoro,AL,2704708,0,0
2020-11-10,Marechal Deodoro,AL,2704708,3,0
2020-11-11,Marechal Deodoro,AL,2704708,4,0
2020-11-12,Marechal Deodoro,AL,2704708,9,0
2020-11-13,Marechal Deodoro,AL,2704708,12,0
2020-11-14,Marechal Deodoro,AL,2704708,28,0
2020-11-15,Marechal Deodoro,AL,2704708,1,0
2020-11-16,Marechal Deodoro,AL,2704708,0,0
2020-11-17,Marechal Deodoro,AL,2704708,0,0
2020-11-18,Marechal Deodoro,AL,2704708,7,0
2020-09-10,Palmeira dos Índios,AL,2706307,1,1
2020-09-11,Palmeira dos Índios,AL,2706307,39,0
2020-09-12,Palmeira dos Índios,AL,2706307,0,0
2020-09-13,Palmeira dos Índios,AL,2706307,12,0
2020-09-14,Palmeira dos Índios,AL,2706307,1,0
2020-09-15,Palmeira dos Índios,AL,2706307,8,0
2020-09-16,Palmeira dos Índios,AL,2706307,8,0
2020-09-17,Palmeira dos Índios,AL,2706307,0,0
2020-09-18,Palmeira dos Índios,AL,2706307,0,0
2020-09-19,Palmeira dos Índios,AL,2706307,7,0
2020-09-20,Palmeira dos Índios,AL,2706307,10,0
2020-09-21,Palmeira dos Índios,AL,2706307,0,0
2020-09-22,Palmeira dos Índios,AL,2706307,4,0
2020-09-23,Palmeira dos Índios,AL,2706307,25,0
2020-09-24,Palmeira dos Índios,AL,2706307,6,0
2020-09-25,Palmeira dos Índios,AL,2706307,3,0
2020-09-26,Palmeira dos Índios,AL,2706307,6,0
2020-09-27,Palmeira dos Índios,AL,2706307,10,0
2020-09-28,Palmeira dos Índios,AL,2706307,1,1
2020-09-29,Palmeira dos Índios,AL,2706307,8,0
2020-09-30,Palmeira dos Índios,AL,2706307,13,0
2020-10-01,Palmeira dos Índios,AL,2706307,0,0
2020-10-02,Palmeira dos Índios,AL,2706307,7,0
2020-10-03,Palmeira dos Índios,AL,2706307,4,1
2020-10-04,Palmeira dos Índios,AL,2706307,4,0
2020-10-05,Palmeira dos Índios,AL,2706307,0,0
2020-10-06,Palmeira dos Índios,AL,2706307,6,0
2020-10-07,Palmeira dos Índios,AL,2706307,1,0
2020-10-08,Palmeira dos Índios,AL,2706307,6,0
2020-10-09,Palmeira dos Índios,AL,2706307,6,0
2020-10-10,Palmeira dos Índios,AL,2706307,8,0
2020-10-11,Palmeira dos Índios,AL,2706307,1,0
2020-10-12,Palmeira dos Índios,AL,2706307,6,0
2020-10-13,Palmeira dos Índios,AL,2706307,0,1
2020-10-14,Palmeira dos Índios,AL,2706307,6,1
2020-10-15,Palmeira dos Índios,AL,2706307,2,0
2020-10-16,Palmeira dos Índios,AL,2706307,3,0
2020-10-17,Palmeira dos Índios,AL,2706307,4,0
2020-10-18,Palmeira dos Índios,AL,2706307,9,1
2020-10-19,Palmeira dos Índios,AL,2706307,0,1
2020-10-20,Palmeira dos Índios,AL,2706307,4,0
2020-10-21,Palmeira dos Índios,AL,2706307,3,0
