region,date,confirm
Marechal Deodoro,2020-10-22,7
Marechal Deodoro,2020-10-23,2
Marechal Deodoro,2020-10-24,5
Marechal Deodoro,2020-10-25,0
Marechal Deodoro,2020-10-26,0
Marechal Deodoro,2020-10-27,2
Marechal Deodoro,2020-10-28,7
Marechal Deodoro,2020-10-29,8
Marechal Deodoro,2020-10-30,12
Marechal Deodoro,2020-10-31,0
Marechal Deodoro,2020-11-01,0
Marechal Deodoro,2020-11-02,1
Marechal Deodoro,2020-11-03,1
Marechal Deodoro,2020-11-04,9
Marechal Deodoro,2020-11-05,2
Marechal Deodoro,2020-11-06,8
Marechal Deodoro,2020-11-07,4
Marechal Deodoro,2020-11-08,0
Marechal Deodoro,2020-11-09,0
Marechal Deodoro,2020-11-10,3
Marechal Deodoro,2020-11-11,4
Marechal Deodoro,2020-11-12,9
Marechal Deodoro,2020-11-13,12
Marechal Deodoro,2020-11-14,28
Marechal Deodoro,2020-11-15,1
Marechal Deodoro,2020-11-16,0
Marechal Deodoro,2020-11-17,0
Marechal Deodoro,2020-11-18,7
Palmeira dos Índios,2020-09-10,1
Palmeira dos Índios,2020-09-11,39
Palmeira dos Índios,2020-09-12,0
Palmeira dos Índios,2020-09-13,12
Palmeira dos Índios,2020-09-14,1
Palmeira dos Índios,2020-09-15,8
Palmeira dos Índios,2020-09-16,8
Palmeira dos Índios,2020-09-17,0
Palmeira dos Índios,2020-09-18,0
Palmeira dos Índios,2020-09-19,7
Palmeira dos Índios,2020-09-20,10
Palmeira dos Índios,2020-09-21,0
Palmeira dos Índios,2020-09-22,4
Palmeira dos Índios,2020-09-23,25
Palmeira dos Índios,2020-09-24,6
Palmeira dos Índios,2020-09-25,3
Palmeira dos Índios,2020-09-26,6
Palmeira dos Índios,2020-09-27,10
Palmeira dos Índios,2020-09-28,1
Palmeira dos Índios,2020-09-29,8
Palmeira dos Índios,2020-09-30,13
Palmeira dos Índios,2020-10-01,0
Palmeira dos Índios,2020-10-02,7
Palmeira dos Índios,2020-10-03,4
Palmeira dos Índios,2020-10-04,4
Palmeira dos Índios,2020-10-05,0
Palmeira dos Índios,2020-10-06,6
Palmeira dos Índios,2020-10-07,1
Palmeira dos Índios,2020-10-08,6
Palmeira dos Índios,2020-10-09,6
Palmeira dos Índios,2020-10-10,8
Palmeira dos Índios,2020-10-11,1
Palmeira dos Índios,2020-10-12,6
Palmeira dos Índios,2020-10-13,0
Palmeira dos Índios,2020-10-14,6
Palmeira dos Índios,2020-10-15,2
Palmeira dos Índios,2020-10-16,3
Palmeira dos Índios,2020-10-17,4
Palmeira dos Índios,2020-10-18,9
Palmeira dos Índios,2020-10-19,0
Palmeira dos Índios,2020-10-20,4
Palmeira dos Índios,2020-10-21,3
Palmeira dos Índios,2020-10-22,0
Palmeira dos Índios,2020-10-23,2
Palmeira dos Índios,2020-10-24,9
Palmeira dos Índios,2020-10-25,0
Palmeira dos Índios,2020-10-26,2
Palmeira dos Índios,2020-10-27,2
Palmeira dos Índios,2020-10-28,3
Palmeira dos Índios,2020-10-29,0
Palmeira dos Índios,2020-10-30,7
Palmeira dos Índios,2020-10-31,3
Palmeira dos Índios,2020-11-01,6
Palmeira dos Índios,2020-11-02,3
Palmeira dos Índios,2020-11-03,2
Palmeira dos Índios,2020-11-04,6
Palmeira dos Índios,2020-11-05,5
Palmeira dos Índios,2020-11-06,1
Palmeira dos Índios,2020-11-07,1
Palmeira dos Índios,2020-11-08,1
Palmeira dos Índios,2020-11-09,0
Palmeira dos Índios,2020-11-10,2
Palmeira dos Índios,2020-11-11,4
Palmeira dos Índios,2020-11-12,9
Palmeira dos Índios,2020-11-13,10
Palmeira dos Índios,2020-11-14,3
Palmeira dos Índios,2020-11-15,0
Palmeira dos Índios,2020-11-16,0
Palmeira dos Índios,2020-11-17,0
Palmeira dos Índios,2020-11-18,12
Penedo,2020-09-10,18
Penedo,2020-09-11,11
Penedo,2020-09-12,4
Penedo,2020-09-13,0
Penedo,2020-09-14,0
Penedo,2020-09-15,2
Penedo,2020-09-16,20
Penedo,2020-09-17,0
Penedo,2020-09-18,15
Penedo,2020-09-19,0
Penedo,2020-09-20,0
Penedo,2020-09-21,0
Penedo,2020-09-22,8
Penedo,2020-09-23,64
Penedo,2020-09-24,3
Penedo,2020-09-25,1
Penedo,2020-09-26,3
Penedo,2020-09-27,23
Penedo,2020-09-28,0
Penedo,2020-09-29,2
Penedo,2020-09-30,4
Penedo,2020-10-01,3
Penedo,2020-10-02,6
Penedo,2020-10-03,10
Penedo,2020-10-04,11
Penedo,2020-10-05,3
Penedo,2020-10-06,6
Penedo,2020-10-07,10
Penedo,2020-10-08,0
Penedo,2020-10-09,1
Penedo,2020-10-10,1
Penedo,2020-10-11,1
Penedo,2020-10-12,7
Penedo,2020-10-13,4
Penedo,2020-10-14,5
Penedo,2020-10-15,1
Penedo,2020-10-16,6
Penedo,2020-10-17,0
Penedo,2020-10-18,15
Penedo,2020-10-19,0
Penedo,2020-10-20,4
Penedo,2020-10-21,1
Penedo,2020-10-22,4
Penedo,2020-10-23,5
Penedo,2020-10-24,1
Penedo,2020-10-25,0
Penedo,2020-10-26,10
Penedo,2020-10-27,0
Penedo,2020-10-28,1
Penedo,2020-10-29,2
Penedo,2020-10-30,1
Penedo,2020-10-31,0
Penedo,2020-11-01,0
Penedo,2020-11-02,2
Penedo,2020-11-03,5
Penedo,2020-11-04,10
Penedo,2020-11-05,4
Penedo,2020-11-06,0
Penedo,2020-11-07,1
Penedo,2020-11-08,1
Penedo,2020-11-09,13
Penedo,2020-11-10,1
Penedo,2020-11-11,3
Penedo,2020-11-12,1
Penedo,2020-11-13,2
Penedo,2020-11-14,0
Penedo,2020-11-15,0
Penedo,2020-11-16,0
Penedo,2020-11-17,0
Penedo,2020-11-18,6
Santana do Ipanema,2020-09-10,2
Santana do Ipanema,2020-09-11,2
Santana do Ipanema,2020-09-12,1
Santana do Ipanema,2020-09-13,35
Santana do Ipanema,2020-09-14,7
Santana do Ipanema,2020-09-15,4
Santana do Ipanema,2020-09-16,10
Santana do Ipanema,2020-09-17,3
Santana do Ipanema,2020-09-18,1
Santana do Ipanema,2020-09-19,46
Santana do Ipanema,2020-09-20,2
Santana do Ipanema,2020-09-21,7
Santana do Ipanema,2020-09-22,9
Santana do Ipanema,2020-09-23,3
Santana do Ipanema,2020-09-24,11
Santana do Ipanema,2020-09-25,3
Santana do Ipanema,2020-09-26,2
Santana do Ipanema,2020-09-27,1
Santana do Ipanema,2020-09-28,2
Santana do Ipanema,2020-09-29,4
Santana do Ipanema,2020-09-30,2
Santana do Ipanema,2020-10-01,6
Santana do Ipanema,2020-10-02,1
Santana do Ipanema,2020-10-03,2
Santana do Ipanema,2020-10-04,5
Santana do Ipanema,2020-10-05,0
Santana do Ipanema,2020-10-06,2
Santana do Ipanema,2020-10-07,3
Santana do Ipanema,2020-10-08,7
Santana do Ipanema,2020-10-09,0
Santana do Ipanema,2020-10-10,3
Santana do Ipanema,2020-10-11,1
Santana do Ipanema,2020-10-12,2
Santana do Ipanema,2020-10-13,5
Santana do Ipanema,2020-10-14,2
Santana do Ipanema,2020-10-15,1
Santana do Ipanema,2020-10-16,2
Santana do Ipanema,2020-10-17,3
Santana do Ipanema,2020-10-18,0
Santana do Ipanema,2020-10-19,1
Santana do Ipanema,2020-10-20,0
Santana do Ipanema,2020-10-21,0
Santana do Ipanema,2020-10-22,0
Santana do Ipanema,2020-10-23,1
Santana do Ipanema,2020-10-24,0
Santana do Ipanema,2020-10-25,0
Santana do Ipanema,2020-10-26,1
Santana do Ipanema,2020-10-27,5
Santana do Ipanema,2020-10-28,5
Santana do Ipanema,2020-10-29,2
Santana do Ipanema,2020-10-30,1
Santana do Ipanema,2020-10-31,1
Santana do Ipanema,2020-11-01,1
Santana do Ipanema,2020-11-02,1
Santana do Ipanema,2020-11-03,0
Santana do Ipanema,2020-11-04,2
Santana do Ipanema,2020-11-05,5
Santana do Ipanema,2020-11-06,5
Santana do Ipanema,2020-11-07,2
Santana do Ipanema,2020-11-08,1
Santana do Ipanema,2020-11-09,2
Santana do Ipanema,2020-11-10,3
Santana do Ipanema,2020-11-11,17
Santana do Ipanema,2020-11-12,6
Santana do Ipanema,2020-11-13,3
Santana do Ipanema,2020-11-14,13
Santana do Ipanema,2020-11-15,2
Santana do Ipanema,2020-11-16,0
Santana do Ipanema,2020-11-17,0
Santana do Ipanema,2020-11-18,21
