Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Arapiraca,39 (10 -- 223),Unsure,1.1 (0.6 -- 2),0.03 (-0.11 -- 0.25),25 (2.8 -- -6.4)
Coruripe,4 (1 -- 17),Unsure,1 (0.7 -- 1.4),0 (-0.08 -- 0.1),-375.1 (6.7 -- -8.4)
Maceió,46 (4 -- 368),Unsure,1 (0.4 -- 2.1),0.01 (-0.18 -- 0.27),78.3 (2.6 -- -3.8)
Marechal Deodoro,5 (0 -- 45),Unsure,1 (0.5 -- 1.8),0.01 (-0.14 -- 0.21),83.1 (3.3 -- -5)
Palmeira dos Índios,3 (1 -- 12),Unsure,1 (0.8 -- 1.4),-0.01 (-0.07 -- 0.09),-87.1 (7.6 -- -9.8)
Penedo,1 (0 -- 6),Unsure,0.9 (0.4 -- 1.3),-0.03 (-0.18 -- 0.09),-20.9 (8 -- -3.8)
Santana do Ipanema,13 (2 -- 90),Unsure,1.3 (0.7 -- 2.2),0.07 (-0.09 -- 0.29),9.5 (2.4 -- -7.7)
