region,date,median,type,strat,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-09-25,154,reported,,,,,,,,,
Acre,2020-09-25,99,estimate,,122,94,20,56,80,120,163,297
Acre,2020-09-26,149,reported,,,,,,,,,
Acre,2020-09-26,77,estimate,,95,75,14,43,62,93,126,234
Acre,2020-09-27,15,reported,,,,,,,,,
Acre,2020-09-27,43,estimate,,53,43,7,23,34,52,71,137
Acre,2020-09-28,11,reported,,,,,,,,,
Acre,2020-09-28,37,estimate,,47,39,7,20,30,45,61,122
Acre,2020-09-29,145,reported,,,,,,,,,
Acre,2020-09-29,78,estimate,,96,75,14,43,62,94,127,238
Acre,2020-09-30,192,reported,,,,,,,,,
Acre,2020-09-30,77,estimate,,95,73,14,42,62,93,126,234
Acre,2020-10-01,187,reported,,,,,,,,,
Acre,2020-10-01,80,estimate,,100,80,16,43,64,98,132,256
Acre,2020-10-02,146,reported,,,,,,,,,
Acre,2020-10-02,100,estimate,,126,100,19,56,81,123,165,325
Acre,2020-10-03,107,reported,,,,,,,,,
Acre,2020-10-03,73,estimate,,92,74,14,41,59,90,122,237
Acre,2020-10-04,10,reported,,,,,,,,,
Acre,2020-10-04,41,estimate,,52,41,7,22,34,50,69,129
Acre,2020-10-05,15,reported,,,,,,,,,
Acre,2020-10-05,36,estimate,,45,36,7,20,29,43,59,114
Acre,2020-10-06,118,reported,,,,,,,,,
Acre,2020-10-06,74,estimate,,91,70,15,41,59,90,121,226
Acre,2020-10-07,13,reported,,,,,,,,,
Acre,2020-10-07,72,estimate,,89,70,14,40,59,86,118,222
Acre,2020-10-08,16,reported,,,,,,,,,
Acre,2020-10-08,78,estimate,,95,75,14,44,63,95,125,231
Acre,2020-10-09,183,reported,,,,,,,,,
Acre,2020-10-09,98,estimate,,120,92,19,55,80,119,161,297
Acre,2020-10-10,14,reported,,,,,,,,,
Acre,2020-10-10,73,estimate,,90,70,13,39,59,89,121,219
Acre,2020-10-11,19,reported,,,,,,,,,
Acre,2020-10-11,40,estimate,,50,40,7,21,32,49,66,126
Acre,2020-10-12,13,reported,,,,,,,,,
Acre,2020-10-12,34,estimate,,43,34,6,19,28,42,57,113
Acre,2020-10-13,209,reported,,,,,,,,,
Acre,2020-10-13,73,estimate,,89,68,15,40,59,89,118,224
Acre,2020-10-14,29,reported,,,,,,,,,
Acre,2020-10-14,71,estimate,,90,73,14,41,58,86,119,226
Acre,2020-10-15,105,reported,,,,,,,,,
Acre,2020-10-15,77,estimate,,93,73,15,42,62,92,124,235
Acre,2020-10-16,192,reported,,,,,,,,,
Acre,2020-10-16,96,estimate,,119,94,19,54,78,118,160,287
Acre,2020-10-17,95,reported,,,,,,,,,
Acre,2020-10-17,74,estimate,,91,70,15,42,60,89,119,229
Acre,2020-10-18,25,reported,,,,,,,,,
Acre,2020-10-18,40,estimate,,51,40,8,23,33,49,70,128
Acre,2020-10-19,47,reported,,,,,,,,,
Acre,2020-10-19,37,estimate,,46,35,7,21,30,46,61,114
Acre,2020-10-20,100,reported,,,,,,,,,
Acre,2020-10-20,75,estimate,,94,75,14,43,62,91,123,233
Acre,2020-10-21,60,reported,,,,,,,,,
Acre,2020-10-21,76,estimate,,94,74,15,42,61,92,127,235
Acre,2020-10-22,103,reported,,,,,,,,,
Acre,2020-10-22,81,estimate,,101,79,16,47,67,99,134,253
Acre,2020-10-23,93,reported,,,,,,,,,
Acre,2020-10-23,108,estimate,,134,106,21,59,87,131,178,339
Acre,2020-10-24,96,reported,,,,,,,,,
Acre,2020-10-24,82,estimate,,100,77,16,45,65,99,135,251
Acre,2020-10-25,87,reported,,,,,,,,,
Acre,2020-10-25,47,estimate,,59,48,9,26,38,57,77,151
Acre,2020-10-26,13,reported,,,,,,,,,
Acre,2020-10-26,41,estimate,,53,42,8,23,34,51,70,132
Acre,2020-10-27,63,reported,,,,,,,,,
Acre,2020-10-27,91,estimate,,113,90,16,50,72,110,150,283
Acre,2020-10-28,165,reported,,,,,,,,,
Acre,2020-10-28,94,estimate,,115,88,16,52,77,113,156,285
Acre,2020-10-29,93,reported,,,,,,,,,
Acre,2020-10-29,96,estimate,,122,97,21,55,79,116,161,303
Acre,2020-10-30,120,reported,,,,,,,,,
Acre,2020-10-30,127,estimate,,160,125,25,73,104,157,210,409
Acre,2020-10-31,38,reported,,,,,,,,,
Acre,2020-10-31,104,estimate,,128,98,20,58,84,125,169,319
Acre,2020-11-01,155,reported,,,,,,,,,
Acre,2020-11-01,58,estimate,,72,56,11,32,47,70,96,179
Acre,2020-11-02,3,reported,,,,,,,,,
Acre,2020-11-02,54,estimate,,66,52,11,30,43,65,87,168
Acre,2020-11-03,8,reported,,,,,,,,,
Acre,2020-11-03,117,estimate,,146,114,23,67,96,142,194,365
Acre,2020-11-04,256,reported,,,,,,,,,
Acre,2020-11-04,120,estimate,,147,114,25,67,96,145,194,358
Acre,2020-11-05,30,reported,,,,,,,,,
Acre,2020-11-05,130,estimate,,160,121,25,72,105,158,215,394
Acre,2020-11-06,78,reported,,,,,,,,,
Acre,2020-11-06,170,estimate,,211,162,34,95,139,205,283,522
Acre,2020-11-07,249,reported,,,,,,,,,
Acre,2020-11-07,134,estimate,,164,124,27,76,109,162,222,404
Acre,2020-11-08,132,reported,,,,,,,,,
Acre,2020-11-08,75,estimate,,92,70,15,42,61,91,125,225
Acre,2020-11-09,81,reported,,,,,,,,,
Acre,2020-11-09,73,estimate,,88,70,13,40,58,86,117,220
Acre,2020-11-10,138,reported,,,,,,,,,
Acre,2020-11-10,154,estimate,,190,143,28,87,126,187,254,469
Acre,2020-11-11,187,reported,,,,,,,,,
Acre,2020-11-11,162,estimate,,198,152,30,91,130,197,263,487
Acre,2020-11-12,402,reported,,,,,,,,,
Acre,2020-11-12,169,estimate,,210,160,35,95,139,208,283,522
Acre,2020-11-13,146,reported,,,,,,,,,
Acre,2020-11-13,226,estimate,,278,212,45,126,185,274,373,698
Acre,2020-11-14,330,reported,,,,,,,,,
Acre,2020-11-14,171,estimate,,214,167,32,94,139,212,290,543
Acre,2020-11-15,165,reported,,,,,,,,,
Acre,2020-11-15,98,estimate,,121,93,19,55,80,121,159,305
Acre,2020-11-16,139,reported,,,,,,,,,
Acre,2020-11-16,88,estimate,,108,83,17,49,72,107,148,266
Acre,2020-11-17,180,reported,,,,,,,,,
Acre,2020-11-17,187,estimate,,233,179,38,107,154,224,310,589
Acre,2020-11-18,250,reported,,,,,,,,,
Acre,2020-11-18,189,estimate,,234,181,35,104,152,234,317,581
Acre,2020-11-19,251,reported,,,,,,,,,
Acre,2020-11-19,198,estimate,,247,196,39,113,162,237,325,620
Acre,2020-11-20,270,reported,,,,,,,,,
Acre,2020-11-20,271,estimate,,325,245,55,149,222,324,429,788
Acre,2020-11-21,189,reported,,,,,,,,,
Acre,2020-11-21,196,estimate,,245,192,36,112,160,241,325,611
Acre,2020-11-22,191,reported,,,,,,,,,
Acre,2020-11-22,109,estimate,,136,107,22,62,89,133,181,339
Acre,2020-11-23,223,reported,,,,,,,,,
Acre,2020-11-23,97,estimate,,119,92,19,54,79,118,159,301
Acre,2020-11-24,204,reported,,,,,,,,,
Acre,2020-11-24,202,estimate,,252,192,39,114,163,248,343,633
Acre,2020-11-25,135,reported,,,,,,,,,
Acre,2020-11-25,197,estimate,,243,183,39,110,159,244,331,593
Acre,2020-11-26,116,reported,,,,,,,,,
Acre,2020-11-26,204,estimate,,254,197,39,115,165,248,342,644
Acre,2020-11-27,452,reported,,,,,,,,,
Acre,2020-11-27,264,estimate,,326,251,54,147,215,323,435,805
Acre,2020-11-28,164,reported,,,,,,,,,
Acre,2020-11-28,198,estimate,,249,196,42,112,161,240,332,635
Acre,2020-11-29,160,reported,,,,,,,,,
Acre,2020-11-29,106,estimate,,132,104,20,60,88,130,176,325
Acre,2020-11-30,179,reported,,,,,,,,,
Acre,2020-11-30,95,estimate,,117,90,19,53,78,115,156,292
Acre,2020-12-01,304,reported,,,,,,,,,
Acre,2020-12-01,194,estimate,,239,194,35,106,158,235,315,600
Acre,2020-12-02,183,reported,,,,,,,,,
Acre,2020-12-02,187,estimate,,231,178,36,106,153,226,307,562
Acre,2020-12-03,153,reported,,,,,,,,,
Acre,2020-12-03,195,estimate,,242,192,41,105,156,234,316,621
Acre,2020-12-04,253,reported,,,,,,,,,
Acre,2020-12-04,245,estimate,,303,229,49,138,201,301,402,744
Acre,2020-12-05,125,reported,,,,,,,,,
Acre,2020-12-05,179,estimate,,222,173,34,100,145,217,296,557
Acre,2020-12-06,44,reported,,,,,,,,,
Acre,2020-12-06,98,estimate,,123,98,19,55,79,117,163,311
Acre,2020-12-07,107,reported,,,,,,,,,
Acre,2020-12-07,88,estimate,,108,83,18,49,71,106,144,266
Acre,2020-12-08,128,reported,,,,,,,,,
Acre,2020-12-08,180,estimate,,222,172,37,103,147,219,293,551
Acre,2020-12-09,116,reported,,,,,,,,,
Acre,2020-12-09,175,estimate,,218,169,35,98,141,216,293,534
Acre,2020-12-10,230,reported,,,,,,,,,
Acre,2020-12-10,179,estimate,,221,171,34,100,146,218,292,559
Acre,2020-12-11,248,reported,,,,,,,,,
Acre,2020-12-11,224,estimate,,275,210,45,125,182,274,368,674
Acre,2020-12-12,213,reported,,,,,,,,,
Acre,2020-12-12,166,estimate,,208,166,32,92,135,201,277,520
Acre,2020-12-13,49,reported,,,,,,,,,
Acre,2020-12-13,88,estimate,,111,89,18,49,72,109,148,291
Acre,2020-12-14,216,reported,,,,,,,,,
Acre,2020-12-14,76,estimate,,97,79,15,42,61,92,128,249
Acre,2020-12-15,84,reported,,,,,,,,,
Acre,2020-12-15,158,estimate,,202,169,30,88,127,192,264,508
Acre,2020-12-16,226,reported,,,,,,,,,
Acre,2020-12-16,159,estimate,,199,158,30,89,128,194,265,517
Acre,2020-12-17,228,reported,,,,,,,,,
Acre,2020-12-17,161,estimate,,205,168,31,93,131,194,268,530
Acre,2020-12-18,175,reported,,,,,,,,,
Acre,2020-12-18,200,estimate,,262,226,38,109,162,250,345,682
Acre,2020-12-19,153,forecast,,198,175,27,83,122,187,256,539
Acre,2020-12-20,80,forecast,,109,109,14,42,65,100,139,300
Acre,2020-12-21,71,forecast,,99,94,13,38,57,88,127,271
Acre,2020-12-22,147,forecast,,210,236,24,78,118,184,258,586
Acre,2020-12-23,141,forecast,,210,256,24,75,110,176,258,585
Acre,2020-12-24,147,forecast,,222,282,26,76,114,183,268,638
Acre,2020-12-25,180,forecast,,312,808,30,91,138,229,347,896
Acre,2020-12-26,137,forecast,,242,496,21,67,107,179,263,689
Acre,2020-12-27,72,forecast,,142,356,11,36,55,93,144,421
Acre,2020-12-28,63,forecast,,144,736,9,30,48,81,130,379
Acre,2020-12-29,135,forecast,,319,1388,19,63,104,172,268,827
Acre,2020-12-30,128,forecast,,334,1402,17,58,95,169,267,921
Acre,2020-12-31,129,forecast,,381,2445,17,59,99,174,277,967
Acre,2021-01-01,168,forecast,,561,4203,22,76,127,224,377,1416
Alagoas,2020-09-25,184,reported,,,,,,,,,
Alagoas,2020-09-25,200,estimate,,215,90,94,152,180,221,265,381
Alagoas,2020-09-26,187,reported,,,,,,,,,
Alagoas,2020-09-26,211,estimate,,224,91,97,160,190,235,275,393
Alagoas,2020-09-27,170,reported,,,,,,,,,
Alagoas,2020-09-27,164,estimate,,176,73,77,125,147,183,216,311
Alagoas,2020-09-28,99,reported,,,,,,,,,
Alagoas,2020-09-28,122,estimate,,129,54,56,91,109,134,158,228
Alagoas,2020-09-29,156,reported,,,,,,,,,
Alagoas,2020-09-29,171,estimate,,182,76,80,129,154,190,225,321
Alagoas,2020-09-30,330,reported,,,,,,,,,
Alagoas,2020-09-30,220,estimate,,232,94,101,165,196,244,284,408
Alagoas,2020-10-01,625,reported,,,,,,,,,
Alagoas,2020-10-01,209,estimate,,220,89,96,156,187,231,271,374
Alagoas,2020-10-02,246,reported,,,,,,,,,
Alagoas,2020-10-02,195,estimate,,206,85,91,146,174,214,252,363
Alagoas,2020-10-03,178,reported,,,,,,,,,
Alagoas,2020-10-03,185,estimate,,196,82,84,137,165,204,240,347
Alagoas,2020-10-04,170,reported,,,,,,,,,
Alagoas,2020-10-04,136,estimate,,144,60,62,101,121,150,178,255
Alagoas,2020-10-05,37,reported,,,,,,,,,
Alagoas,2020-10-05,94,estimate,,99,41,43,70,84,104,123,177
Alagoas,2020-10-06,148,reported,,,,,,,,,
Alagoas,2020-10-06,130,estimate,,139,58,62,98,118,145,171,243
Alagoas,2020-10-07,143,reported,,,,,,,,,
Alagoas,2020-10-07,162,estimate,,173,71,77,121,145,181,213,304
Alagoas,2020-10-08,112,reported,,,,,,,,,
Alagoas,2020-10-08,151,estimate,,163,67,73,115,137,169,201,284
Alagoas,2020-10-09,115,reported,,,,,,,,,
Alagoas,2020-10-09,142,estimate,,151,63,68,106,129,156,184,269
Alagoas,2020-10-10,137,reported,,,,,,,,,
Alagoas,2020-10-10,137,estimate,,144,59,62,102,123,150,176,255
Alagoas,2020-10-11,36,reported,,,,,,,,,
Alagoas,2020-10-11,101,estimate,,108,45,49,76,91,112,134,194
Alagoas,2020-10-12,54,reported,,,,,,,,,
Alagoas,2020-10-12,70,estimate,,76,33,32,52,63,79,93,136
Alagoas,2020-10-13,74,reported,,,,,,,,,
Alagoas,2020-10-13,99,estimate,,106,45,46,74,89,111,130,187
Alagoas,2020-10-14,128,reported,,,,,,,,,
Alagoas,2020-10-14,125,estimate,,133,55,60,94,112,138,164,236
Alagoas,2020-10-15,110,reported,,,,,,,,,
Alagoas,2020-10-15,120,estimate,,127,53,56,89,108,133,157,225
Alagoas,2020-10-16,86,reported,,,,,,,,,
Alagoas,2020-10-16,113,estimate,,121,49,54,86,102,125,148,214
Alagoas,2020-10-17,87,reported,,,,,,,,,
Alagoas,2020-10-17,110,estimate,,116,47,51,82,100,121,143,202
Alagoas,2020-10-18,128,reported,,,,,,,,,
Alagoas,2020-10-18,85,estimate,,90,38,39,63,76,94,112,158
Alagoas,2020-10-19,35,reported,,,,,,,,,
Alagoas,2020-10-19,59,estimate,,63,27,27,44,53,65,77,113
Alagoas,2020-10-20,116,reported,,,,,,,,,
Alagoas,2020-10-20,85,estimate,,91,39,39,63,76,95,113,165
Alagoas,2020-10-21,102,reported,,,,,,,,,
Alagoas,2020-10-21,109,estimate,,116,49,50,81,97,120,142,204
Alagoas,2020-10-22,101,reported,,,,,,,,,
Alagoas,2020-10-22,108,estimate,,114,47,51,80,97,118,140,201
Alagoas,2020-10-23,147,reported,,,,,,,,,
Alagoas,2020-10-23,103,estimate,,109,45,49,77,92,114,135,191
Alagoas,2020-10-24,130,reported,,,,,,,,,
Alagoas,2020-10-24,103,estimate,,110,46,48,77,92,116,136,196
Alagoas,2020-10-25,53,reported,,,,,,,,,
Alagoas,2020-10-25,79,estimate,,84,36,36,58,71,88,104,148
Alagoas,2020-10-26,77,reported,,,,,,,,,
Alagoas,2020-10-26,59,estimate,,63,27,27,44,52,66,77,110
Alagoas,2020-10-27,130,reported,,,,,,,,,
Alagoas,2020-10-27,85,estimate,,90,37,39,63,77,95,111,159
Alagoas,2020-10-28,113,reported,,,,,,,,,
Alagoas,2020-10-28,110,estimate,,118,49,52,83,100,123,145,210
Alagoas,2020-10-29,67,reported,,,,,,,,,
Alagoas,2020-10-29,109,estimate,,116,48,51,82,98,121,143,205
Alagoas,2020-10-30,107,reported,,,,,,,,,
Alagoas,2020-10-30,109,estimate,,115,47,50,82,99,121,141,200
Alagoas,2020-10-31,118,reported,,,,,,,,,
Alagoas,2020-10-31,109,estimate,,116,48,50,82,98,120,141,206
Alagoas,2020-11-01,31,reported,,,,,,,,,
Alagoas,2020-11-01,87,estimate,,93,39,40,65,78,97,114,163
Alagoas,2020-11-02,98,reported,,,,,,,,,
Alagoas,2020-11-02,64,estimate,,68,28,30,47,57,71,83,120
Alagoas,2020-11-03,98,reported,,,,,,,,,
Alagoas,2020-11-03,93,estimate,,99,41,44,69,84,103,121,175
Alagoas,2020-11-04,126,reported,,,,,,,,,
Alagoas,2020-11-04,122,estimate,,130,55,55,91,111,135,160,230
Alagoas,2020-11-05,128,reported,,,,,,,,,
Alagoas,2020-11-05,123,estimate,,131,55,56,92,111,137,163,234
Alagoas,2020-11-06,137,reported,,,,,,,,,
Alagoas,2020-11-06,121,estimate,,128,53,56,90,108,135,158,225
Alagoas,2020-11-07,196,reported,,,,,,,,,
Alagoas,2020-11-07,122,estimate,,129,53,55,91,110,135,160,228
Alagoas,2020-11-08,115,reported,,,,,,,,,
Alagoas,2020-11-08,96,estimate,,103,45,44,71,86,107,127,186
Alagoas,2020-11-09,130,reported,,,,,,,,,
Alagoas,2020-11-09,71,estimate,,75,32,31,52,63,79,92,133
Alagoas,2020-11-10,91,reported,,,,,,,,,
Alagoas,2020-11-10,106,estimate,,111,46,49,79,95,116,137,194
Alagoas,2020-11-11,101,reported,,,,,,,,,
Alagoas,2020-11-11,139,estimate,,148,61,65,104,125,155,182,256
Alagoas,2020-11-12,126,reported,,,,,,,,,
Alagoas,2020-11-12,140,estimate,,148,59,65,106,128,154,179,260
Alagoas,2020-11-13,162,reported,,,,,,,,,
Alagoas,2020-11-13,137,estimate,,145,59,66,103,124,152,178,251
Alagoas,2020-11-14,152,reported,,,,,,,,,
Alagoas,2020-11-14,141,estimate,,148,60,65,104,127,155,182,258
Alagoas,2020-11-15,116,reported,,,,,,,,,
Alagoas,2020-11-15,110,estimate,,117,48,52,82,98,121,144,205
Alagoas,2020-11-16,46,reported,,,,,,,,,
Alagoas,2020-11-16,81,estimate,,86,36,37,60,73,89,107,152
Alagoas,2020-11-17,173,reported,,,,,,,,,
Alagoas,2020-11-17,120,estimate,,128,53,56,90,108,133,156,226
Alagoas,2020-11-18,136,reported,,,,,,,,,
Alagoas,2020-11-18,159,estimate,,168,69,73,119,142,177,209,293
Alagoas,2020-11-19,172,reported,,,,,,,,,
Alagoas,2020-11-19,161,estimate,,171,71,74,121,146,178,210,298
Alagoas,2020-11-20,122,reported,,,,,,,,,
Alagoas,2020-11-20,165,estimate,,173,71,75,124,148,182,212,301
Alagoas,2020-11-21,114,reported,,,,,,,,,
Alagoas,2020-11-21,165,estimate,,175,71,75,124,149,184,217,306
Alagoas,2020-11-22,81,reported,,,,,,,,,
Alagoas,2020-11-22,131,estimate,,139,57,60,99,119,146,172,243
Alagoas,2020-11-23,129,reported,,,,,,,,,
Alagoas,2020-11-23,99,estimate,,105,44,45,74,89,110,130,186
Alagoas,2020-11-24,139,reported,,,,,,,,,
Alagoas,2020-11-24,146,estimate,,156,64,68,109,132,164,192,276
Alagoas,2020-11-25,207,reported,,,,,,,,,
Alagoas,2020-11-25,197,estimate,,211,87,94,149,180,219,259,373
Alagoas,2020-11-26,145,reported,,,,,,,,,
Alagoas,2020-11-26,201,estimate,,213,86,96,151,182,223,259,370
Alagoas,2020-11-27,332,reported,,,,,,,,,
Alagoas,2020-11-27,202,estimate,,216,89,97,153,184,224,264,381
Alagoas,2020-11-28,221,reported,,,,,,,,,
Alagoas,2020-11-28,207,estimate,,221,91,99,157,186,229,271,388
Alagoas,2020-11-29,246,reported,,,,,,,,,
Alagoas,2020-11-29,168,estimate,,178,71,78,127,151,186,219,310
Alagoas,2020-11-30,125,reported,,,,,,,,,
Alagoas,2020-11-30,127,estimate,,135,55,60,95,115,140,164,238
Alagoas,2020-12-01,168,reported,,,,,,,,,
Alagoas,2020-12-01,192,estimate,,203,81,93,144,174,213,250,354
Alagoas,2020-12-02,236,reported,,,,,,,,,
Alagoas,2020-12-02,253,estimate,,271,112,119,190,229,281,332,476
Alagoas,2020-12-03,255,reported,,,,,,,,,
Alagoas,2020-12-03,268,estimate,,285,119,126,201,241,298,351,510
Alagoas,2020-12-04,255,reported,,,,,,,,,
Alagoas,2020-12-04,271,estimate,,286,117,126,202,245,299,349,501
Alagoas,2020-12-05,402,reported,,,,,,,,,
Alagoas,2020-12-05,276,estimate,,292,118,130,207,249,303,357,513
Alagoas,2020-12-06,332,reported,,,,,,,,,
Alagoas,2020-12-06,222,estimate,,236,96,108,167,199,246,290,414
Alagoas,2020-12-07,152,reported,,,,,,,,,
Alagoas,2020-12-07,168,estimate,,178,74,78,125,151,186,219,313
Alagoas,2020-12-08,189,reported,,,,,,,,,
Alagoas,2020-12-08,257,estimate,,270,110,117,191,230,284,333,477
Alagoas,2020-12-09,275,reported,,,,,,,,,
Alagoas,2020-12-09,341,estimate,,360,145,160,256,307,376,440,635
Alagoas,2020-12-10,314,reported,,,,,,,,,
Alagoas,2020-12-10,351,estimate,,371,149,167,266,316,385,452,648
Alagoas,2020-12-11,386,reported,,,,,,,,,
Alagoas,2020-12-11,358,estimate,,376,149,164,267,323,396,464,645
Alagoas,2020-12-12,229,reported,,,,,,,,,
Alagoas,2020-12-12,364,estimate,,387,158,174,274,327,404,474,673
Alagoas,2020-12-13,435,reported,,,,,,,,,
Alagoas,2020-12-13,290,estimate,,309,128,138,217,262,322,379,546
Alagoas,2020-12-14,316,reported,,,,,,,,,
Alagoas,2020-12-14,220,estimate,,234,98,100,166,198,243,286,414
Alagoas,2020-12-15,310,reported,,,,,,,,,
Alagoas,2020-12-15,331,estimate,,355,150,155,250,298,366,435,630
Alagoas,2020-12-16,773,reported,,,,,,,,,
Alagoas,2020-12-16,445,estimate,,474,198,207,332,400,492,583,830
Alagoas,2020-12-17,296,reported,,,,,,,,,
Alagoas,2020-12-17,451,estimate,,482,212,202,332,401,501,594,875
Alagoas,2020-12-18,312,reported,,,,,,,,,
Alagoas,2020-12-18,454,estimate,,489,215,213,335,407,503,600,889
Alagoas,2020-12-19,463,forecast,,503,236,203,336,414,519,619,927
Alagoas,2020-12-20,369,forecast,,408,198,159,269,330,414,508,788
Alagoas,2020-12-21,277,forecast,,307,154,119,195,244,315,383,602
Alagoas,2020-12-22,415,forecast,,470,261,172,295,366,471,576,956
Alagoas,2020-12-23,548,forecast,,628,354,223,387,486,627,778,1299
Alagoas,2020-12-24,554,forecast,,662,434,223,381,482,644,813,1449
Alagoas,2020-12-25,556,forecast,,674,477,201,367,484,651,828,1544
Alagoas,2020-12-26,569,forecast,,699,509,195,374,483,669,882,1612
Alagoas,2020-12-27,460,forecast,,588,520,151,291,387,542,718,1440
Alagoas,2020-12-28,346,forecast,,453,475,106,221,295,408,538,1120
Alagoas,2020-12-29,517,forecast,,700,778,149,320,431,613,837,1785
Alagoas,2020-12-30,675,forecast,,962,1166,191,406,566,820,1137,2477
Alagoas,2020-12-31,707,forecast,,1026,1612,180,414,578,856,1176,2686
Alagoas,2021-01-01,706,forecast,,1065,1778,174,410,582,868,1204,2893
Amapá,2020-09-25,141,reported,,,,,,,,,
Amapá,2020-09-25,106,estimate,,113,49,48,77,94,118,139,203
Amapá,2020-09-26,88,reported,,,,,,,,,
Amapá,2020-09-26,85,estimate,,92,40,39,63,76,95,114,167
Amapá,2020-09-27,50,reported,,,,,,,,,
Amapá,2020-09-27,65,estimate,,70,32,28,47,59,73,87,129
Amapá,2020-09-28,140,reported,,,,,,,,,
Amapá,2020-09-28,80,estimate,,85,38,34,58,71,89,105,156
Amapá,2020-09-29,119,reported,,,,,,,,,
Amapá,2020-09-29,108,estimate,,116,52,49,80,96,120,144,210
Amapá,2020-09-30,200,reported,,,,,,,,,
Amapá,2020-09-30,120,estimate,,128,56,52,88,107,133,159,227
Amapá,2020-10-01,131,reported,,,,,,,,,
Amapá,2020-10-01,125,estimate,,132,57,55,91,112,138,164,238
Amapá,2020-10-02,144,reported,,,,,,,,,
Amapá,2020-10-02,117,estimate,,126,55,54,87,105,132,158,226
Amapá,2020-10-03,73,reported,,,,,,,,,
Amapá,2020-10-03,94,estimate,,100,44,41,68,84,104,125,183
Amapá,2020-10-04,26,reported,,,,,,,,,
Amapá,2020-10-04,68,estimate,,74,32,32,51,61,77,92,134
Amapá,2020-10-05,73,reported,,,,,,,,,
Amapá,2020-10-05,83,estimate,,90,39,38,61,75,93,110,162
Amapá,2020-10-06,113,reported,,,,,,,,,
Amapá,2020-10-06,114,estimate,,121,53,51,83,102,127,150,222
Amapá,2020-10-07,149,reported,,,,,,,,,
Amapá,2020-10-07,126,estimate,,133,57,56,92,112,140,165,235
Amapá,2020-10-08,122,reported,,,,,,,,,
Amapá,2020-10-08,131,estimate,,139,59,59,97,116,146,172,246
Amapá,2020-10-09,130,reported,,,,,,,,,
Amapá,2020-10-09,122,estimate,,131,57,55,90,110,136,163,232
Amapá,2020-10-10,88,reported,,,,,,,,,
Amapá,2020-10-10,97,estimate,,104,46,43,71,87,108,130,191
Amapá,2020-10-11,83,reported,,,,,,,,,
Amapá,2020-10-11,72,estimate,,78,34,33,54,65,81,97,143
Amapá,2020-10-12,38,reported,,,,,,,,,
Amapá,2020-10-12,89,estimate,,95,41,40,65,79,98,116,172
Amapá,2020-10-13,169,reported,,,,,,,,,
Amapá,2020-10-13,120,estimate,,129,57,54,90,108,134,161,233
Amapá,2020-10-14,152,reported,,,,,,,,,
Amapá,2020-10-14,132,estimate,,141,61,58,97,118,148,177,255
Amapá,2020-10-15,145,reported,,,,,,,,,
Amapá,2020-10-15,140,estimate,,151,66,63,103,126,156,186,273
Amapá,2020-10-16,182,reported,,,,,,,,,
Amapá,2020-10-16,136,estimate,,143,61,58,100,121,151,177,254
Amapá,2020-10-17,78,reported,,,,,,,,,
Amapá,2020-10-17,109,estimate,,115,50,48,78,97,121,142,208
Amapá,2020-10-18,41,reported,,,,,,,,,
Amapá,2020-10-18,80,estimate,,87,39,35,59,72,90,109,158
Amapá,2020-10-19,72,reported,,,,,,,,,
Amapá,2020-10-19,99,estimate,,106,46,44,72,88,110,131,192
Amapá,2020-10-20,119,reported,,,,,,,,,
Amapá,2020-10-20,135,estimate,,145,63,60,101,120,150,179,261
Amapá,2020-10-21,212,reported,,,,,,,,,
Amapá,2020-10-21,153,estimate,,162,71,66,111,136,169,201,293
Amapá,2020-10-22,228,reported,,,,,,,,,
Amapá,2020-10-22,163,estimate,,174,75,73,119,145,182,215,312
Amapá,2020-10-23,146,reported,,,,,,,,,
Amapá,2020-10-23,154,estimate,,166,70,72,115,140,173,206,294
Amapá,2020-10-24,106,reported,,,,,,,,,
Amapá,2020-10-24,125,estimate,,134,57,56,93,113,140,166,237
Amapá,2020-10-25,53,reported,,,,,,,,,
Amapá,2020-10-25,94,estimate,,102,44,43,70,85,106,126,183
Amapá,2020-10-26,65,reported,,,,,,,,,
Amapá,2020-10-26,119,estimate,,127,54,53,87,105,133,157,228
Amapá,2020-10-27,235,reported,,,,,,,,,
Amapá,2020-10-27,164,estimate,,174,73,74,121,148,182,214,307
Amapá,2020-10-28,96,reported,,,,,,,,,
Amapá,2020-10-28,182,estimate,,195,84,83,135,164,204,242,353
Amapá,2020-10-29,352,reported,,,,,,,,,
Amapá,2020-10-29,194,estimate,,207,88,88,144,174,216,256,370
Amapá,2020-10-30,155,reported,,,,,,,,,
Amapá,2020-10-30,189,estimate,,201,86,84,138,170,210,252,361
Amapá,2020-10-31,145,reported,,,,,,,,,
Amapá,2020-10-31,152,estimate,,163,69,69,113,137,171,202,288
Amapá,2020-11-01,325,reported,,,,,,,,,
Amapá,2020-11-01,114,estimate,,124,55,52,85,102,128,154,226
Amapá,2020-11-02,153,reported,,,,,,,,,
Amapá,2020-11-02,146,estimate,,155,67,65,107,131,163,193,279
Amapá,2020-11-03,179,reported,,,,,,,,,
Amapá,2020-11-03,197,estimate,,212,91,91,148,176,220,263,380
Amapá,2020-11-04,0,reported,,,,,,,,,
Amapá,2020-11-04,226,estimate,,238,99,103,167,200,250,294,423
Amapá,2020-11-05,0,reported,,,,,,,,,
Amapá,2020-11-05,240,estimate,,256,110,105,179,216,267,314,460
