Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Arapiraca,67 (15 -- 526),Unsure,1.3 (0.7 -- 2.8),0.08 (-0.08 -- 0.43),8.5 (1.6 -- -9)
Coruripe,4 (1 -- 16),Unsure,1 (0.7 -- 1.4),0 (-0.09 -- 0.1),-149.6 (6.8 -- -8)
Maceió,46 (4 -- 402),Unsure,1 (0.4 -- 2),0 (-0.19 -- 0.25),1343.6 (2.7 -- -3.7)
Marechal Deodoro,14 (2 -- 300),Unsure,1.3 (0.6 -- 3.4),0.08 (-0.1 -- 0.55),8.9 (1.3 -- -6.7)
Palmeira dos Índios,3 (1 -- 16),Unsure,1 (0.7 -- 1.5),-0.01 (-0.08 -- 0.12),-108.5 (5.7 -- -8.5)
Penedo,1 (0 -- 9),Unsure,0.9 (0.4 -- 1.4),-0.03 (-0.18 -- 0.11),-23.6 (6.3 -- -3.9)
Santana do Ipanema,16 (2 -- 125),Likely increasing,1.4 (0.7 -- 2.5),0.1 (-0.09 -- 0.35),7.1 (2 -- -7.9)
