region,time
Arapiraca,2037.491
Campo Alegre,1021.522
Coruripe,1087.818
Delmiro Gouveia,791.454
Girau do Ponciano,757.211
Joaquim Gomes,1338.058
Lagoa da Canoa,1339.361
Maceió,1304.222
Marechal Deodoro,706.864
Matriz de Camaragibe,899.791
Palmeira dos Índios,782.681
Penedo,1151.4
Pilar,998.272
Santana do Ipanema,2037.491
